ticker,event_date,label,prev_close,premarket_open,premarket_high,market_open,day_high,day_low,close,avg_volume_20d,day_volume,premarket_volume,premarket_dollar_volume,market_cap,free_float,short_float_pct,days_to_cover,utilization_rate,borrow_fee_rate,reverse_split_in_last_24m,reverse_split_dates,offering_in_last_12m,registered_direct_or_pipe_in_last_12m,atm_offering_or_dilution_risk,deficiency_notice,otc_risk,all_time_high_or_major_5y_high,drawdown_from_major_high_pct,has_never_reverse_split,former_runner_history,number_of_prior_explosive_days,highest_intraday_expansion_last_252d_pct,max_volume_shock_last_252d,clean_collapse_recovery_candidate,years_since_major_peak,distance_from_52w_low_pct,premarket_gap_pct,premarket_vwap,premarket_hold_quality,premarket_range_pct,open_vs_prev_close_pct,open_vs_premarket_high_pct,first_5m_high,first_5m_low,first_5m_close,opening_range_break_yes_no,first_pullback_hold_yes_no,rvol,close_strength,above_vwap_yes_no,breakout_distance_pct,distance_to_20d_high_pct,distance_to_50d_high_pct,sma20,sma50,sma150,sma200,price_above_sma50_yes_no,price_above_sma200_yes_no,vcp_like_contraction_yes_no,ttm_squeeze_on,ttm_squeeze_fired,atr_14,amihud_illiquidity_proxy,headline_primary,headline_secondary,catalyst_type,catalyst_freshness_hours,news_source_quality,narrative_pivot_yes_no,notes
MKDW,2025-04-07,CLEAN_RECOVERY_2X,5.1,,,5.4,36.0,5.37,15.6,3131.9,7459070,,,27431180,647268.0,4.05,0.24,,,NO,,,,,,,480.0,98.94,YES,YES,3.0,116.35,98.33,YES,0.74,0.0,,,,,5.88,,,,,,,2381.64,0.334,,114.29,-69.64,-70.18,10.9905,12.5634,23.2462,59.69505,NO,NO,YES,NO,NO,1.097143,3.95644344,,,,,,,"No recent reverse split, the stock sat roughly 99% below its major high and still expanded 606% across the event window on outsized volume."
GVH,2025-05-05,CLEAN_RECOVERY_2X,101.0,,,103.199997,190.0,101.0,128.0,43.65,53503,,,6631778,1229299.0,28.01,0.34,,,NO,,,,,,,1100.0,90.82,YES,NO,0.0,61.64,728.37,YES,1.49,7.22,,,,,2.18,,,,,,,1225.73,0.303,,58.33,-15.83,-33.55,101.44,119.548,137.648,136.303,NO,NO,YES,YES,NO,5.214285,9.53103387,,,,,,,"No recent reverse split, the stock sat roughly 91% below its major high and still expanded 114% across the event window on outsized volume."
ASBP,2025-05-28,CLEAN_RECOVERY_2X,9.52,,,15.64,29.200001,13.44,28.24,22266.35,17579115,,,1315818,4360286.0,9.1,0.79,,,NO,,,,,,,632.0,98.49,YES,NO,0.0,31.05,74.03,YES,0.28,10.7,,,,,64.29,,,,,,,789.49,0.939,,43.14,-53.33,-70.9,12.248,18.4672,267.412267,316.479201,NO,NO,YES,NO,NO,1.845714,0.48323066,,,,,,,"No recent reverse split, the stock sat roughly 98% below its major high and still expanded 207% across the event window on outsized volume."
TBH,2025-06-05,CLEAN_RECOVERY_2X,0.595,,,0.6,1.3,0.6,0.9,173210.0,66451500,,,15248984,17262368.0,0.76,0.42,,,NO,,,,,,,6.96,91.45,YES,NO,,,,NO,0.18,,,,,,0.84,,,,,,,383.65,0.429,,74.97,-19.92,-91.45,0.5883,1.18236,,,NO,NO,YES,YES,NO,0.051286,0.53869347,,,,,,,"No recent reverse split, the stock sat roughly 91% below its major high and still expanded 118% across the event window on outsized volume."
BATL,2025-06-13,CLEAN_RECOVERY_2X,1.431,,,1.48,1.88,1.3,1.64,17855.0,7682900,,,63346488,14113601.0,47.81,0.13,,,NO,,,,,,,12.37,88.43,YES,YES,1.0,123.47,40.31,YES,2.38,36.29,,,,,3.42,,,,,,,430.29,0.586,,29.66,-1.31,-5.86,1.34075,1.30874,2.057733,2.883605,YES,NO,YES,YES,NO,0.055929,1.87423747,,,,,,,"No recent reverse split, the stock sat roughly 88% below its major high and still expanded 156% across the event window on outsized volume."
RYDE,2025-06-18,CLEAN_RECOVERY_2X,0.176,,,0.4,0.588,0.301,0.45,194040.0,566927900,,,185209904,28117219.0,0.59,0.11,,,NO,,,,,,,22.49,99.22,YES,YES,1.0,119.35,128.65,YES,0.77,10.0,,,,,127.27,,,,,,,2921.71,0.519,,156.77,-23.14,-37.14,0.20615,0.2206,0.333,0.9961,NO,NO,YES,NO,NO,0.015,0.68878982,,,,,,,"No recent reverse split, the stock sat roughly 99% below its major high and still expanded 234% across the event window on outsized volume."
ABVE,2025-07-10,CLEAN_RECOVERY_2X,0.365,,,0.414,2.12,0.39,1.55,1156590.0,448636100,,,36351332,23885021.0,2.86,0.52,,,NO,,,,,,,4.07,91.03,YES,YES,2.0,92.52,,YES,1.02,46.0,,,,,13.42,,,,,,,387.9,0.671,,25.44,-78.4,-87.5,1.07365,1.16908,0.729093,0.68132,NO,NO,NO,NO,NO,0.210357,0.26186632,,,,,,,"No recent reverse split, the stock sat roughly 91% below its major high and still expanded 1105% across the event window on outsized volume."
SMTK,2025-09-02,CLEAN_RECOVERY_2X,0.843,,,0.843,2.34,0.843,1.45,151750.0,80345800,,,5843522,19917166.0,0.16,0.12,,,NO,,,,,,,13.0,93.52,YES,NO,0.0,78.75,158.23,YES,1.26,44.1,,,,,0.0,,,,,,,529.46,0.405,,154.35,-8.37,-31.46,0.74275,0.87912,1.804413,2.238045,NO,NO,NO,NO,NO,0.080143,0.59537863,,,,,,,"No recent reverse split, the stock sat roughly 94% below its major high and still expanded 178% across the event window on outsized volume."
SKYQ,2025-09-08,CLEAN_RECOVERY_2X,3.32,,,4.8,8.96,4.184,5.76,16528.4,29659913,,,34305520,3203563.0,4.11,0.4,,,NO,,,,,,,43.919998,92.44,YES,NO,,,,NO,0.91,,,,,,44.58,,,,,,,1794.48,0.33,,115.38,-20.19,-46.79,3.7676,4.4456,5.635787,6.47552,NO,NO,YES,YES,NO,0.308571,0.856523,,,,,,,"No recent reverse split, the stock sat roughly 92% below its major high and still expanded 170% across the event window on outsized volume."
TOP,2025-09-10,CLEAN_RECOVERY_2X,1.24,,,1.33,3.33,1.33,1.85,35870.0,46510300,,,32905446,6999960.0,1.24,0.11,,,NO,,,,,,,256.440002,99.52,YES,YES,1.0,81.92,169.04,YES,2.37,24.0,,,,,7.26,,,,,,,1296.64,0.26,,160.16,-3.12,-4.54,1.16855,1.1905,1.234367,1.303375,YES,NO,NO,YES,NO,0.043071,0.42712095,,,,,,,"No recent reverse split, the stock sat roughly 100% below its major high and still expanded 169% across the event window on outsized volume."
VNCE,2025-09-10,CLEAN_RECOVERY_2X,1.5,,,1.54,1.66,1.47,1.66,19355.0,15604300,,,59894024,4585008.0,0.26,0.31,,,NO,2017-10-24,,,,,,8.48,82.31,NO,YES,2.0,137.02,217.09,YES,2.57,47.06,,,,,2.67,,,,,,,806.22,1.0,,5.06,-5.06,-7.98,1.484,1.5098,1.811133,2.0856,NO,NO,YES,YES,NO,0.063571,1.04428498,,,,,,,"No recent reverse split, the stock sat roughly 82% below its major high and still expanded 180% across the event window on outsized volume."
UGRO,2025-10-14,CLEAN_RECOVERY_2X,9.3,,,12.25,19.5,11.0,14.375,12005.4,9127048,,,11721385,1014559.0,54.66,0.03,,,NO,,,,,,,111.75,91.68,YES,YES,1.0,95.54,117.81,YES,2.69,41.98,,,,,31.72,,,,,,,760.25,0.397,,21.88,-41.87,-52.91,11.78,11.459,11.027167,13.65875,NO,NO,YES,NO,NO,1.217857,0.43177686,,,,,,,"No recent reverse split, the stock sat roughly 92% below its major high and still expanded 110% across the event window on outsized volume."
